arm,subject,file_name,mean_gesture_z,max_gesture_z,mean_dist,gestures
right arm,subject11,subject11_session01_filtered.npz,0.18748276432355246,0.8876854777336121,0.05721621463696162,6
right arm,subject12,subject12_session03_filtered.npz,0.18319440881411234,1.5970386266708374,0.058027155697345734,6
right arm,subject11,subject11_session02_filtered.npz,0.14689749293029308,1.001108169555664,0.053808555006980896,6
right arm,subject09,subject09_session03_filtered.npz,0.1366646687189738,1.7875018119812012,0.06069938217600187,6
right arm,subject08,subject08_session02_filtered.npz,0.12351937654117744,0.9089332222938538,0.05634966461608807,6
right arm,subject08,subject08_session03_filtered.npz,0.08602040136853854,1.501860499382019,0.056000242941081524,6
right arm,subject12,subject12_session05_filtered.npz,0.03919264410311977,1.4379092454910278,0.05244959766666094,6
right arm,subject09,subject09_session04_filtered.npz,0.03232911229133606,0.674490749835968,0.055203501135110855,6
right arm,subject08,subject08_session07_filtered.npz,0.0009590722620487213,1.3293898105621338,0.05223599790285031,6
right arm,subject08,subject08_session05_filtered.npz,0.0008899463961521784,1.5395021438598633,0.05245620819429556,6
right arm,subject08,subject08_session04_filtered.npz,-0.031314597775538765,1.0093427896499634,0.05256732925772667,6
right arm,subject09,subject09_session06_filtered.npz,-0.06667887171109517,1.0979804992675781,0.05177408394714197,6
right arm,subject09,subject09_session05_filtered.npz,-0.07317333233853181,0.8766005635261536,0.052555051942666374,6
right arm,subject08,subject08_session06_filtered.npz,-0.13424861679474512,0.6507505178451538,0.04865747162451347,6
right arm,Matthew,Matthew_session21_filtered.npz,-0.14185387392838797,0.8361319899559021,0.04907737486064434,6
right arm,subject09,subject09_session01_filtered.npz,-0.17548852724333605,0.5194458961486816,0.04895608685910702,6
right arm,subject03,subject03_session05_relabeled_first_gesture_dropped_filtered.npz,-0.2246117316535674,0.09447052329778671,0.04754934273660183,6
right arm,subject05,subject05_session03_relabeled_first_gesture_dropped_filtered.npz,-0.23380571603775024,0.6660171747207642,0.04331639688462019,6
right arm,subject03,subject03_session06_relabeled_first_gesture_dropped_filtered.npz,-0.299919659892718,0.16648045182228088,0.04482568800449371,6
right arm,subject06,subject06_session01_relabeled_first_gesture_dropped_filtered.npz,-0.3117460124194622,0.5377201437950134,0.041360252536833286,6
right arm,subject11,subject11_session06_filtered.npz,-0.3213646387060483,0.6860376596450806,0.040672444428006806,6
right arm,subject08,subject08_session01_filtered.npz,-0.3218761458992958,0.2444881945848465,0.04499769521256288,6
right arm,subject03,subject03_session04_relabeled_first_gesture_dropped_filtered.npz,-0.3586987828214963,0.1906760185956955,0.04635034905125698,6
right arm,subject09,subject09_session02_filtered.npz,-0.36033125842610997,0.22130583226680756,0.04486685370405515,6
right arm,subject05,subject05_session02_relabeled_first_gesture_dropped_filtered.npz,-0.3856914658099413,0.4551607072353363,0.039654772728681564,6
right arm,subject11,subject11_session07_filtered.npz,-0.387538547317187,0.25169917941093445,0.03975791049500307,6
right arm,subject03,subject03_session03_relabeled_first_gesture_dropped_filtered.npz,-0.3934839616219203,-0.0236111581325531,0.04411855712532997,6
right arm,subject05,subject05_session01_relabeled_first_gesture_dropped_filtered.npz,-0.39800983915726346,0.4512995779514313,0.03940588297943274,6
right arm,subject06,subject06_session02_relabeled_first_gesture_dropped_filtered.npz,-0.41003936777512234,0.21322251856327057,0.039714412142833076,6
right arm,subject03,subject03_session01_relabeled_first_gesture_dropped_filtered.npz,-0.4374912766118844,-0.11559184640645981,0.04562925516317288,6
right arm,Matthew,Matthew_session12_filtered.npz,-0.4535548264781634,0.16223187744617462,0.04508296803881725,6
right arm,subject03,subject03_session02_relabeled_first_gesture_dropped_filtered.npz,-0.4574467235555251,-0.044892486184835434,0.04168172304828962,6
right arm,subject06,subject06_session05_relabeled_first_gesture_dropped_filtered.npz,-0.4747372195124626,0.42625707387924194,0.03664230400075515,6
right arm,subject06,subject06_session06_relabeled_first_gesture_dropped_filtered.npz,-0.49398261805375415,0.5389752984046936,0.0359863443300128,6
right arm,Matthew,Matthew_session10_filtered.npz,-0.49980718952914077,0.33453863859176636,0.04369633939738075,6
right arm,Matthew,Matthew_session19_filtered.npz,-0.5076434339086214,0.04851238802075386,0.04277558717876673,6
right arm,subject06,subject06_session04_relabeled_first_gesture_dropped_filtered.npz,-0.521250408453246,-0.020010927692055702,0.03600272132704655,6
right arm,subject06,subject06_session03_relabeled_first_gesture_dropped_filtered.npz,-0.5247513360033432,0.053622808307409286,0.03654604343076547,6
right arm,subject06,subject06_session07_relabeled_first_gesture_dropped_filtered.npz,-0.5311623811721802,0.08416125178337097,0.03542332941045364,6
right arm,Matthew,Matthew_session09_filtered.npz,-0.5335436215003332,0.33650460839271545,0.044756839983165264,6
right arm,Matthew,Matthew_session17_filtered.npz,-0.560861791173617,0.39369603991508484,0.04329857028399905,6
right arm,Matthew,Matthew_session15_filtered.npz,-0.5767137669026852,0.07883580774068832,0.04155540388698379,6
right arm,Matthew,Matthew_session13_filtered.npz,-0.5944088523586591,0.17445872724056244,0.04195590177550912,6
right arm,Matthew,Matthew_session11_filtered.npz,-0.5989183858036995,0.2169257551431656,0.04205802114059528,6
right arm,subject06,subject06_session08_relabeled_first_gesture_dropped_filtered.npz,-0.6011664047837257,-0.23623572289943695,0.0340022404367725,6
right arm,Matthew,Matthew_session18_filtered.npz,-0.6049802576502165,0.23870374262332916,0.04177951874832312,6
right arm,Matthew,Matthew_session20_filtered.npz,-0.6096757004658381,0.30813339352607727,0.042302644501129784,6
right arm,Matthew,Matthew_session16_filtered.npz,-0.6256119161844254,0.1109183132648468,0.0401068776845932,6
right arm,Matthew,Matthew_session14_filtered.npz,-0.6917537848154703,0.3728761672973633,0.040232485781113304,6
