arm,subject,file_name,n_kept_windows,n_present_classes,sep_score_all,sep_score_active_only,active_vs_neutral_amp_ratio,kept_label_entropy_bits,cnt_neutral,cnt_left_turn,cnt_right_turn,cnt_signal_left,cnt_signal_right,cnt_horn
left arm,Matthew,Matthew_session10_filtered.npz,2459,6,2.419499993383537,2.0826785732700617,2.2392266392855253,2.58496190391518,410,410,410,410,410,409
left arm,subject08,subject08_session01_filtered.npz,2460,6,0.7837819394603721,0.8685595456592171,1.0032309848087315,2.584962500721156,410,410,410,410,410,410
left arm,subject08,subject08_session02_filtered.npz,2460,6,1.4082040959650675,1.5489710031584711,1.0408021472856352,2.584962500721156,410,410,410,410,410,410
left arm,subject08,subject08_session03_filtered.npz,2460,6,1.4695024818405884,1.5946935526074282,1.0406906989529183,2.584962500721156,410,410,410,410,410,410
left arm,subject08,subject08_session04_filtered.npz,2459,6,1.7106108783443912,1.905209536882856,1.0308924933937074,2.58496190391518,410,410,410,410,410,409
left arm,subject08,subject08_session05_filtered.npz,2460,6,1.6031795411493919,1.7929818168111686,1.0251244706854177,2.584962500721156,410,410,410,410,410,410
left arm,subject08,subject08_session06_filtered.npz,2460,6,1.492849003630286,1.6048997804739398,1.0833547873709832,2.584962500721156,410,410,410,410,410,410
left arm,subject08,subject08_session07_filtered.npz,2459,6,1.4439461790246402,1.5023582889838796,1.1529461781370693,2.58496190391518,410,410,410,409,410,410
left arm,subject12,subject12_session01_filtered.npz,2460,6,0.7637984243408377,0.808862854020021,0.9759681446992368,2.584962500721156,410,410,410,410,410,410
left arm,subject12,subject12_session02_filtered.npz,2460,6,0.49310576687201857,0.5100215083676934,1.1068803857453782,2.584962500721156,410,410,410,410,410,410
left arm,subject12,subject12_session04_filtered.npz,2460,6,0.8500687045820474,0.9067134657648876,1.0938496483221372,2.584962500721156,410,410,410,410,410,410
left arm,subject12,subject12_session05_filtered.npz,2460,6,0.4011821091537364,0.38847932409240926,1.1029770186122674,2.584962500721156,410,410,410,410,410,410
left arm,subject12,subject12_session06_filtered.npz,2460,6,0.38238299312705687,0.39565050115694045,1.0306335970765501,2.584962500721156,410,410,410,410,410,410
left arm,subject12,subject12_session07_filtered.npz,2460,6,0.627187893712165,0.6760549837193717,1.0141095747236595,2.584962500721156,410,410,410,410,410,410
