arm,subject,file_name,applied_calib,calib_ratio_median,n_kept_windows,sep_score_all_norm,sep_score_active_norm,active_vs_neutral_amp_ratio_norm
right arm,subject12,subject12_session05_filtered.npz,1,5.109134662058205,2460,1.6528896233363237,1.4811366999738662,1.439138018691192
right arm,subject12,subject12_session06_filtered.npz,1,4.275816462051399,2460,1.6114829978956389,1.378244442262933,1.61323964750557
right arm,subject12,subject12_session07_filtered.npz,1,4.878315391336153,2460,1.4979330543845195,1.3495065052978528,1.356806647943118
left arm,Matthew,Matthew_session01_filtered.npz,1,3.061282627678432,2461,0.9129989614606236,0.7180907558103755,1.7528941469904187
left arm,Matthew,Matthew_session02_filtered.npz,1,5.139009563831059,2459,2.513724065016036,2.1438505351877932,1.8402011317392273
left arm,Matthew,Matthew_session03_filtered.npz,1,2.1799272686555184,2459,1.566310805932128,1.5633846839785612,1.7689774220009962
left arm,Matthew,Matthew_session04_filtered.npz,1,6.274969625964903,2460,2.0132996787485573,1.815121256864702,1.8678433258347114
left arm,Matthew,Matthew_session05_filtered.npz,1,6.650228839573501,2460,2.235855993173578,1.899878589523119,2.03353774016065
left arm,Matthew,Matthew_session06_filtered.npz,1,4.847127239867772,2460,2.0284375170590447,2.0392067563295484,1.8102225831883358
left arm,Matthew,Matthew_session07_filtered.npz,1,5.293888482596293,2461,2.3821340550403463,2.2709981206330427,1.916939127682861
left arm,Matthew,Matthew_session08_filtered.npz,1,5.4275673912560745,2460,2.5477081194100553,2.376667536669215,2.1528559478612346
left arm,Matthew,Matthew_session09_filtered.npz,1,4.134264709842976,2460,1.7627961598478694,1.765739224215436,1.9772121388748425
left arm,Matthew,Matthew_session10_filtered.npz,1,7.047153481325201,2459,2.0984788069866833,1.8132472971274693,2.2795931920599046
left arm,subject08,subject08_session01_filtered.npz,1,2.3221190380286076,2460,1.9131307137681672,2.043979645727373,1.1143939055038083
left arm,subject08,subject08_session02_filtered.npz,1,3.92138825524862,2460,1.9075253296201244,1.9677458158231615,1.1511985493792052
left arm,subject08,subject08_session03_filtered.npz,1,4.629072526921447,2460,1.955041022265833,2.0365568616234655,1.2145127608406987
left arm,subject08,subject08_session04_filtered.npz,1,4.266685626072427,2459,2.3453802908523618,2.623654753282549,1.1654842127337508
left arm,subject08,subject08_session05_filtered.npz,1,3.975770824986021,2460,2.026918433659459,2.0851365807252153,1.1816256136718402
left arm,subject08,subject08_session06_filtered.npz,1,3.895688326961115,2460,1.888077451387174,1.8954269116501483,1.2616022606176853
left arm,subject08,subject08_session07_filtered.npz,1,5.7563103020962805,2459,1.9885603679220722,1.9341075448642346,1.380016602094673
left arm,subject12,subject12_session01_filtered.npz,1,2.318275493182272,2460,2.062582655489923,1.9016700737439987,1.2486995309939004
left arm,subject12,subject12_session02_filtered.npz,1,2.8832008540461693,2460,1.5569845062073426,1.5100689583267946,1.2821249970811583
left arm,subject12,subject12_session04_filtered.npz,1,2.7700133910555884,2460,1.8009795814821452,1.7743078230511784,1.2228565277220258
left arm,subject12,subject12_session05_filtered.npz,1,2.6973474849608507,2460,1.2921348238162518,1.3128431524875837,1.2229628248706395
left arm,subject12,subject12_session06_filtered.npz,1,1.9840598712543116,2460,1.1731397766975058,1.1693714420038825,1.0967058846244064
left arm,subject12,subject12_session07_filtered.npz,1,2.4166609967524706,2460,1.2131060355212058,1.1529910918825412,1.111836513037563
